ARRIVAL_DELAY,DELAY_LABEL
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-10,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-11,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-12,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-13,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-14,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-15,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-16,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-17,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-18,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-19,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-20,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-21,ontime
-22,ontime
-22,ontime
-22,ontime
-22,ontime
-22,ontime
-22,ontime
-22,ontime
-22,ontime
-22,ontime
-22,ontime
-22,ontime
-22,ontime
-22,ontime
-22,ontime
-22,ontime
-22,ontime
-22,ontime
-22,ontime
-22,ontime
-22,ontime
-22,ontime
-22,ontime
-22,ontime
-22,ontime
-22,ontime
-22,ontime
-22,ontime
-22,ontime
-22,ontime
-22,ontime
-23,ontime
-23,ontime
-23,ontime
